AREA,Dept,Owner Group,# WO's,Total Actual Hours,Scheduled Hours,Actual BreakIn Hours,Actual Hours on Scheduled WOs,Scheduled PM Hours,Actual Hours on Scheduled PM WOs,BreakIn Failure Hours,BreakIn Non-Failure Hours,Test1
MINE,Trucks,OG800,377,906.5,856.5,501,405.5,377,205,135,366,377
MINE,Support,OG801,185,393.3,689,183.8,209.5,579,178,111.5,72.25,185
MINE,Field,OG803,51,238,12,238,,12,,182,56,51
MINE,Elect/Shops,OG804,42,64,48,36,28,,,35.95,,42
MINE,Elect/Shops,OG805,131,337.5,827,119,218.5,154,62,42,77,131
MINE,Trucks,OG807,50,235.5,2099,197.5,38,41,26.5,153.5,44,50
MINE,Elect/Shops,OG809,66,30,0,30,,0,,,30,66
MILL,Electrical,OG811,72,264.3,612,106.5,157.8,22,7,73,33.5,72
MILL,Electrical,OG812,163,476.8,847,180,296.8333333,243,191,67,113,163
MILL,Mechanical,OG813,36,363,326,289,74,118,26,263,26,36
MILL,Shops,OG814,49,58,470,,58,126,18,,,49
MINE,Elect/Shops,OG815,15,41,0,41,,,,20,21,15
MINE,Support,OG816,31,22,216,,22,,,,,31
MINE,Other,OG817,27,136,,136,,,,36,100,27
MINE,Trucks,OG818,3,,123,,,,,,,3
MINE,Support,OG821,17,38,45,38,,45,,,38,17
MILL,Mechanical,OG823,19,80,75,20,60,75,60,,20,19
MILL,Mechanical,OG824,38,230,1135,58,172,94,4,58,,38
MINE,Other,OG825,,,,,,,,,,
MILL,Mechanical,OG827,11,232.5,168,163.5,69,168,69,144,19.5,11
MILL,Mechanical,OG832,56,171,245,59,112,245,112,,59,56
MILL,Shops,OG833,12,50,70,50,,,,20,30,12
MILL,Mechanical,OG834,30,106,194,12,94,32,20,12,,30
MILL,Mechanical,OG837,6,16,20,6,10,20,10,6,,6
MILL,Electrical,OG838,40,264,20,264,,,,64,200,40
MINE,Elect/Shops,OG839,43,190.5,12,142.5,48,,,16,126.5,43
MINE,Support,OG843,5,44,,44,,,,,44,5
MILL,Mechanical,OG845,25,276,176.5,276,,69.5,,270,6,25
MINE,Field,OG846,5,20.5,0,20.5,,,,10.5,10,5
MILL,Mechanical,OG847,1,,,,,,,,,1
MILL,Mechanical,OG852,8,116,148,,116,16,20,,,8
MILL,Mechanical,OG853,21,278.5,825,250,28.5,,,240,10,21
MINE,Elect/Shops,OG855,,,,,,,,,,
MILL,Mechanical,OG858,,,,,,,,,,
MINE,Other,OG871,,,,,,,,,,
MILL,Shops,OG872,1,,440,,,,,,,1
MILL,Shops,OG873,11,176,340,56,120,,,56,,11
MINE,Other,OG876,2,6,,6,,,,4,2,2
MILL,Shops,OG890,39,156,257,71,85,20,,60,11,39
MILL,Shops,OG891,16,10,440,10,,,,,10,16
MILL,Shops,OG892,11,30,200,30,,,,,30,11
MILL,Mechanical,OG893,36,89.5,139,52,37.5,1,,52,,36
MILL,Mechanical,OG894,66,143,313,21,122,83,23,21,,66
MILL,Electrical,OG895,,,,,,,,,,
MILL,Electrical,OG896,77,150,316,30,120,100,76,27,3,77
MILL,Mechanical,OG898,54,24,25.5,,24,25.5,24,,,54
MILL,Mechanical,OG901,2,,,,,,,,,2
